date,amount,merchant,category,description,transaction_type
2025-08-25T09:41:33.292856,26.43,Lyft,transport,Purchase at Lyft,expense
2025-08-25T12:37:33.292856,220.19,PG&E Electric,utilities,Purchase at PG&E Electric,expense
2025-08-26T02:51:33.292856,175.62,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-08-26T13:19:33.292856,120.08,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-08-26T19:08:33.292856,99.0,Spotify,subscription,Purchase at Spotify,expense
2025-08-27T00:19:33.292856,436.39,Dentist,healthcare,Purchase at Dentist,expense
2025-08-27T17:25:33.292856,206.79,Water Company,utilities,Purchase at Water Company,expense
2025-08-28T00:12:33.292856,99.46,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-08-28T16:29:33.292856,23.12,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-08-28T16:48:33.292856,786.66,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-08-28T19:35:33.292856,23.62,Walgreens,healthcare,Purchase at Walgreens,expense
2025-08-29T12:04:33.292856,74.78,Uber,transport,Purchase at Uber,expense
2025-08-30T21:23:33.292856,443.52,Dentist,healthcare,Purchase at Dentist,expense
2025-08-30T21:58:33.292856,161.68,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-08-31T12:55:33.292856,21.54,McDonalds,restaurant,Purchase at McDonalds,expense
2025-09-01T01:13:33.292856,62.27,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-09-01T03:26:33.292856,172.63,Kroger,grocery,Purchase at Kroger,expense
2025-09-01T16:33:33.292856,419.21,Walmart,shopping,Purchase at Walmart,expense
2025-09-01T18:10:33.292856,91.95,Steam Games,entertainment,Purchase at Steam Games,expense
2025-09-01T20:18:33.292856,235.36,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-09-02T12:00:33.292856,44.87,Steam Games,entertainment,Purchase at Steam Games,expense
2025-09-02T14:01:33.292856,125.97,Steam Games,entertainment,Purchase at Steam Games,expense
2025-09-03T16:26:33.292856,61.33,Public Transit,transport,Purchase at Public Transit,expense
2025-09-03T18:49:33.292856,293.24,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-09-04T04:04:33.292856,485.14,Walmart,shopping,Purchase at Walmart,expense
2025-09-04T10:59:33.292856,26.94,Walgreens,healthcare,Purchase at Walgreens,expense
2025-09-04T18:06:33.292856,187.98,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-09-04T18:26:33.292856,25.04,GitHub Pro,subscription,Purchase at GitHub Pro,expense
2025-09-05T00:58:33.292856,166.83,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-09-05T12:41:33.292856,56.38,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-09-05T13:09:33.292856,35.9,Safeway,grocery,Purchase at Safeway,expense
2025-09-05T17:04:33.292856,98.69,Chevron,transport,Purchase at Chevron,expense
2025-09-05T21:32:33.292856,50.78,Chevron,transport,Purchase at Chevron,expense
2025-09-06T19:21:33.292856,40.05535436158841,24 Hour Fitness,fitness,24 Hour Fitness monthly subscription,expense
2025-09-06T19:21:33.292856,9.582530008661927,Planet Fitness,fitness,Planet Fitness monthly subscription,expense
2025-09-06T19:21:33.292856,89.30747426785989,Yoga Studio,fitness,Yoga Studio monthly subscription,expense
2025-09-06T23:47:33.292856,32.35,Thai Express,restaurant,Purchase at Thai Express,expense
2025-09-07T06:57:33.292856,90.35,Uber,transport,Purchase at Uber,expense
2025-09-07T08:51:33.292856,73.58,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-09-07T10:25:33.292856,114.03,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-09-07T13:33:33.292856,15.56,Spotify,subscription,Purchase at Spotify,expense
2025-09-07T18:52:33.292856,1808.46,Best Buy,shopping,Purchase at Best Buy,expense
2025-09-07T19:21:33.292856,150.1523093119531,CrossFit Gym,fitness,CrossFit Gym monthly subscription,expense
2025-09-07T23:57:33.292856,41.26,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-09-08T17:40:33.292856,497.57,Home Depot,shopping,Purchase at Home Depot,expense
2025-09-08T19:21:33.292856,12.544110520892746,Hulu,subscription,Hulu monthly subscription,expense
2025-09-08T19:21:33.292856,4.910388279581566,GitHub Pro,subscription,GitHub Pro monthly subscription,expense
2025-09-09T04:49:33.292856,71.92,Hulu,subscription,Purchase at Hulu,expense
2025-09-09T07:24:33.292856,400.96,Amazon,shopping,Purchase at Amazon,expense
2025-09-09T12:02:33.292856,78.96,Uber,transport,Purchase at Uber,expense
2025-09-09T19:21:33.292856,16.28477383570198,Netflix,subscription,Netflix monthly subscription,expense
2025-09-09T19:21:33.292856,15.080493919751213,Amazon Prime,subscription,Amazon Prime monthly subscription,expense
2025-09-09T19:21:33.292856,7.883049881968141,Disney Plus,subscription,Disney Plus monthly subscription,expense
2025-09-09T19:21:33.292856,52.93353516810671,Adobe Creative,subscription,Adobe Creative monthly subscription,expense
2025-09-10T04:43:33.292856,24.53,McDonalds,restaurant,Purchase at McDonalds,expense
2025-09-10T06:31:33.292856,98.48,Chevron,transport,Purchase at Chevron,expense
2025-09-10T08:36:33.292856,40.1,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-09-10T08:45:33.292856,34.11,Subway,restaurant,Purchase at Subway,expense
2025-09-10T09:38:33.292856,463.61,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-09-10T15:09:33.292856,204.63,Gas Company,utilities,Purchase at Gas Company,expense
2025-09-10T19:21:33.292856,9.804189061732,Spotify,subscription,Spotify monthly subscription,expense
2025-09-10T20:52:33.292856,122.22,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-09-10T21:52:33.292856,246.26,Home Depot,shopping,Purchase at Home Depot,expense
2025-09-11T08:45:33.292856,73.98,Lyft,transport,Purchase at Lyft,expense
2025-09-12T17:27:33.292856,166.44,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-09-12T17:30:33.292856,9.55,Thai Express,restaurant,Purchase at Thai Express,expense
2025-09-12T19:44:33.292856,488.85,Apple Store,shopping,Purchase at Apple Store,expense
2025-09-13T01:57:33.292856,22.03,Pizza Hut,restaurant,Purchase at Pizza Hut,expense
2025-09-13T03:15:33.292856,107.61,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-09-13T17:33:33.292856,300.36,Dentist,healthcare,Purchase at Dentist,expense
2025-09-14T02:00:33.292856,392.7,Apple Store,shopping,Purchase at Apple Store,expense
2025-09-14T04:02:33.292856,198.82,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-09-14T10:42:33.292856,493.63,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-09-14T11:26:33.292856,176.47,Walgreens,healthcare,Purchase at Walgreens,expense
2025-09-14T11:43:33.292856,91.27,Water Company,utilities,Purchase at Water Company,expense
2025-09-15T16:23:33.292856,739.49,Gas Company,utilities,Purchase at Gas Company,expense
2025-09-15T18:14:33.292856,15.05,Starbucks,restaurant,Purchase at Starbucks,expense
2025-09-16T06:41:33.292856,727.46,PG&E Electric,utilities,Purchase at PG&E Electric,expense
2025-09-16T18:45:33.292856,79.47,Public Transit,transport,Purchase at Public Transit,expense
2025-09-17T10:10:33.292856,76.81,Steam Games,entertainment,Purchase at Steam Games,expense
2025-09-18T05:50:33.292856,73.6,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-09-19T12:09:33.292856,131.46,PG&E Electric,utilities,Purchase at PG&E Electric,expense
2025-09-19T12:25:33.292856,7.47,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-09-19T12:40:33.292856,22.44,Spotify,subscription,Purchase at Spotify,expense
2025-09-19T14:07:33.292856,31.7,Public Transit,transport,Purchase at Public Transit,expense
2025-09-19T23:08:33.292856,118.13,Safeway,grocery,Purchase at Safeway,expense
2025-09-20T01:18:33.292856,200.06,Hulu,subscription,Purchase at Hulu,expense
2025-09-20T08:35:33.292856,266.51,Home Depot,shopping,Purchase at Home Depot,expense
2025-09-20T20:02:33.292856,142.17,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-09-21T06:05:33.292856,68.88,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-09-21T06:24:33.292856,162.85,Safeway,grocery,Purchase at Safeway,expense
2025-09-22T02:12:33.292856,151.3,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-09-22T13:14:33.292856,164.01,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-09-23T08:26:33.292856,211.81,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-09-23T19:21:33.292856,4778.649599058943,Employer Inc,income,Monthly salary,income
2025-09-23T20:09:33.292856,96.68,Amazon,shopping,Purchase at Amazon,expense
2025-09-23T23:18:33.292856,191.06,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-09-24T02:04:33.292856,79.15,Steam Games,entertainment,Purchase at Steam Games,expense
2025-09-24T10:08:33.292856,34.03,Steam Games,entertainment,Purchase at Steam Games,expense
2025-09-24T12:58:33.292856,496.35,Dentist,healthcare,Purchase at Dentist,expense
2025-09-24T16:30:33.292856,117.18,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-09-24T18:10:33.292856,58.22,Kroger,grocery,Purchase at Kroger,expense
2025-09-26T03:56:33.292856,24.58,Pizza Hut,restaurant,Purchase at Pizza Hut,expense
2025-09-26T13:34:33.292856,179.45,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-09-27T09:41:33.292856,31.85,Spotify,subscription,Purchase at Spotify,expense
2025-09-27T11:29:33.292856,16.96,Adobe Creative,subscription,Purchase at Adobe Creative,expense
2025-09-27T16:59:33.292856,176.2,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-09-28T09:00:33.292856,67.77,PG&E Electric,utilities,Purchase at PG&E Electric,expense
2025-09-28T15:50:33.292856,93.4,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-09-28T18:59:33.292856,40.56,Starbucks,restaurant,Purchase at Starbucks,expense
2025-09-29T14:16:33.292856,22.54,McDonalds,restaurant,Purchase at McDonalds,expense
2025-09-30T12:32:33.292856,106.62,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-09-30T16:11:33.292856,76.79,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-10-01T04:59:33.292856,124.67,Steam Games,entertainment,Purchase at Steam Games,expense
2025-10-01T05:17:33.292856,144.78,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-10-02T06:57:33.292856,20.77,Amazon Prime,subscription,Purchase at Amazon Prime,expense
2025-10-02T21:14:33.292856,142.23,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-10-02T22:04:33.292856,103.14,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-10-03T13:07:33.292856,139.94,Safeway,grocery,Purchase at Safeway,expense
2025-10-03T13:29:33.292856,11.16,Pizza Hut,restaurant,Purchase at Pizza Hut,expense
2025-10-03T18:53:33.292856,50.07,Uber,transport,Purchase at Uber,expense
2025-10-03T20:51:33.292856,53.53,Spotify,subscription,Purchase at Spotify,expense
2025-10-04T02:27:33.292856,285.0,Internet Provider,utilities,Purchase at Internet Provider,expense
2025-10-05T15:15:33.292856,73.21,PlayStation Store,entertainment,Purchase at PlayStation Store,expense
2025-10-05T19:13:33.292856,117.57,Steam Games,entertainment,Purchase at Steam Games,expense
2025-10-06T14:39:33.292856,53.51,Thai Express,restaurant,Purchase at Thai Express,expense
2025-10-06T16:37:33.292856,289.78,Adobe Creative,subscription,Purchase at Adobe Creative,expense
2025-10-06T18:43:33.292856,81.02,Amazon Prime,subscription,Purchase at Amazon Prime,expense
2025-10-06T19:21:33.292856,4.947681672933976,GitHub Pro,subscription,GitHub Pro monthly subscription,expense
2025-10-06T20:59:33.292856,134.11,Trader Joes,grocery,Purchase at Trader Joes,expense
2025-10-07T19:21:33.292856,14.927354834515098,Amazon Prime,subscription,Amazon Prime monthly subscription,expense
2025-10-07T19:21:33.292856,13.474860276525423,Hulu,subscription,Hulu monthly subscription,expense
2025-10-07T19:21:33.292856,149.75511132570432,CrossFit Gym,fitness,CrossFit Gym monthly subscription,expense
2025-10-08T03:30:33.292856,98.77,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-10-08T07:09:33.292856,95.14,Water Company,utilities,Purchase at Water Company,expense
2025-10-08T19:21:33.292856,15.914018088134272,Netflix,subscription,Netflix monthly subscription,expense
2025-10-08T19:21:33.292856,9.551526656771616,Spotify,subscription,Spotify monthly subscription,expense
2025-10-08T19:21:33.292856,8.160343020561083,Disney Plus,subscription,Disney Plus monthly subscription,expense
2025-10-08T19:21:33.292856,52.92595180140761,Adobe Creative,subscription,Adobe Creative monthly subscription,expense
2025-10-08T19:21:33.292856,40.47651358886286,24 Hour Fitness,fitness,24 Hour Fitness monthly subscription,expense
2025-10-08T19:21:33.292856,10.005744444619605,Planet Fitness,fitness,Planet Fitness monthly subscription,expense
2025-10-08T19:52:33.292856,107.09,Whole Foods,grocery,Purchase at Whole Foods,expense
2025-10-09T16:27:33.292856,89.89,Shell Gas Station,transport,Purchase at Shell Gas Station,expense
2025-10-09T19:21:33.292856,88.58453003511279,Yoga Studio,fitness,Yoga Studio monthly subscription,expense
2025-10-09T19:42:33.292856,40.75,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-10-09T20:47:33.292856,107.4,Kroger,grocery,Purchase at Kroger,expense
2025-10-10T09:02:33.292856,107.18,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-10-11T12:39:33.292856,36.69,Kroger,grocery,Purchase at Kroger,expense
2025-10-12T05:35:33.292856,135.11,Concert Venue,entertainment,Purchase at Concert Venue,expense
2025-10-12T10:03:33.292856,116.11,Walmart,shopping,Purchase at Walmart,expense
2025-10-12T19:05:33.292856,115.62,Health Insurance,healthcare,Purchase at Health Insurance,expense
2025-10-13T01:02:33.292856,76.55,Public Transit,transport,Purchase at Public Transit,expense
2025-10-13T05:50:33.292856,325.28,Home Depot,shopping,Purchase at Home Depot,expense
2025-10-13T10:15:33.292856,171.04,Home Depot,shopping,Purchase at Home Depot,expense
2025-10-13T13:53:33.292856,360.58,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-10-13T15:06:33.292856,59.75,Subway,restaurant,Purchase at Subway,expense
2025-10-14T12:12:33.292856,143.47,PlayStation Store,entertainment,Purchase at PlayStation Store,expense
2025-10-14T17:49:33.292856,142.53,Target Grocery,grocery,Purchase at Target Grocery,expense
2025-10-15T13:59:33.292856,69.46,Uber,transport,Purchase at Uber,expense
2025-10-15T18:09:33.292856,20.34,Adobe Creative,subscription,Purchase at Adobe Creative,expense
2025-10-16T14:52:33.292856,574.58,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-10-19T00:29:33.292856,187.05,PG&E Electric,utilities,Purchase at PG&E Electric,expense
2025-10-19T10:16:33.292856,41.11,Thai Express,restaurant,Purchase at Thai Express,expense
2025-10-20T16:39:33.292856,251.17,Water Company,utilities,Purchase at Water Company,expense
2025-10-20T22:56:33.292856,33.93,Spotify,subscription,Purchase at Spotify,expense
2025-10-21T01:57:33.292856,31.81,Starbucks,restaurant,Purchase at Starbucks,expense
2025-10-21T11:01:33.292856,16.54,Public Transit,transport,Purchase at Public Transit,expense
2025-10-21T13:24:33.292856,78.52,GitHub Pro,subscription,Purchase at GitHub Pro,expense
2025-10-21T13:46:33.292856,46.07,Chipotle,restaurant,Purchase at Chipotle,expense
2025-10-23T08:45:33.292856,335.72,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-10-23T15:28:33.292856,36.52,Netflix,subscription,Purchase at Netflix,expense
2025-10-23T19:21:33.292856,5284.16775953313,Employer Inc,income,Monthly salary,income
2025-10-24T18:37:33.292856,64.36,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-10-24T22:41:33.292856,362.44,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-10-26T04:33:33.292856,480.27,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-10-26T13:23:33.292856,57.0,Hulu,subscription,Purchase at Hulu,expense
2025-10-27T18:12:33.292856,155.46,Yoga Studio,fitness,Purchase at Yoga Studio,expense
2025-10-27T19:36:33.292856,159.05,McDonalds,restaurant,Purchase at McDonalds,expense
2025-10-28T06:17:33.292856,135.49,Movie Theater,entertainment,Purchase at Movie Theater,expense
2025-10-28T11:24:33.292856,403.03,Amazon,shopping,Purchase at Amazon,expense
2025-10-28T14:17:33.292856,85.27,Chevron,transport,Purchase at Chevron,expense
2025-10-29T02:18:33.292856,476.42,Dentist,healthcare,Purchase at Dentist,expense
2025-10-29T12:25:33.292856,38.28,Steam Games,entertainment,Purchase at Steam Games,expense
2025-10-29T15:11:33.292856,35.93,Disney Plus,subscription,Purchase at Disney Plus,expense
2025-10-29T22:11:33.292856,137.29,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-10-30T11:18:33.292856,236.63,Doctor Visit,healthcare,Purchase at Doctor Visit,expense
2025-10-30T18:41:33.292856,31.17,Steam Games,entertainment,Purchase at Steam Games,expense
2025-10-30T19:19:33.292856,372.21,CVS Pharmacy,healthcare,Purchase at CVS Pharmacy,expense
2025-10-31T08:04:33.292856,36.97,Chipotle,restaurant,Purchase at Chipotle,expense
2025-10-31T16:50:33.292856,169.68,Kroger,grocery,Purchase at Kroger,expense
2025-11-01T10:07:33.292856,83.44,Spotify,subscription,Purchase at Spotify,expense
2025-11-01T12:53:33.292856,450.96,Apple Store,shopping,Purchase at Apple Store,expense
2025-11-01T21:03:33.292856,85.25,Dentist,healthcare,Purchase at Dentist,expense
2025-11-03T16:50:33.292856,246.48,Amazon,shopping,Purchase at Amazon,expense
2025-11-03T19:55:33.292856,112.02,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-11-04T15:13:33.292856,63.5,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-11-04T16:23:33.292856,109.83,Planet Fitness,fitness,Purchase at Planet Fitness,expense
2025-11-04T19:40:33.292856,366.64,Health Insurance,healthcare,Purchase at Health Insurance,expense
2025-11-05T15:03:33.292856,159.77,CrossFit Gym,fitness,Purchase at CrossFit Gym,expense
2025-11-06T18:25:33.292856,54.07,Thai Express,restaurant,Purchase at Thai Express,expense
2025-11-07T01:01:33.292856,285.08,Apple Store,shopping,Purchase at Apple Store,expense
2025-11-07T05:39:33.292856,28.06,Chipotle,restaurant,Purchase at Chipotle,expense
2025-11-07T20:22:33.292856,20.12,24 Hour Fitness,fitness,Purchase at 24 Hour Fitness,expense
2025-11-08T03:51:33.292856,35.59,Public Transit,transport,Purchase at Public Transit,expense
2025-11-08T12:56:33.292856,36.87,Subway,restaurant,Purchase at Subway,expense
